Investigation title,Investigation number,Investigation webpage,Occurrence date,Report status,Report release
"Loss of control and collision with terrain involving Beechcraft E55, VH-OMD, Cowra Airport, New South Wales, on 11 April 2024",AO-2024-011,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2024-011,11/04/2024,Final,22/08/2024
"Taxiway excursion, ground strike and near collision with terrain involving Cessna 172R, VH-EWW, at Gold Coast Airport, Queensland, on 6 February 2024",AO-2024-004,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2024-004,06/02/2024,Final,17/04/2024
"Instrument failure and control issues involving Raytheon Aircraft Company C90A, VH-JEO, 170 km north-east of Kalgoorlie-Boulder Airport, Western Australia, on 25 January 2024",AO-2024-003,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2024-003,25/01/2024,Final,17/09/2024
"Collision with terrain involving Cessna 172S, VH-CPQ, 3.5 km west of Camden Airport, New South Wales, on 24 January 2024",AO-2024-002,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2024-002,24/01/2024,Final,23/07/2024
"Accredited representative to the Civil Aviation Authority of Nepal (CAAN) - Collision with terrain involving ATR 72-212A, 9N-ANC, 3 km west of Pokhara International Airport, Nepal, on 15 January 2023",AA-2023-001,https://www.atsb.gov.au/publications/investigation_reports/2024/report/aa-2023-001,15/01/2023,Final,28/12/2023
"Ground strike during a marine pilot transfer, involving Agusta A109, VH-RUA and ship Tai Keystone, about 240 km north-east of Mackay Airport, Queensland, on 7 December 2023",AO-2023-059,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-059,07/12/2023,Final,24/04/2024
"VFR into smoke on a dark night and collision with terrain involving Robinson R22, VH-DLD, 112 km south-south-east of Tindal Airport, Northern Territory, on 7 December 2023",AO-2023-058,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-058,07/12/2023,Final,19/03/2024
"Mid-air collision involving SIAI-Marchetti S-211s, VH-DZJ and VH-DQJ, 25 km west of Tyabb Airport, Victoria, on 19 November 2023",AO-2023-057,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-057,19/11/2023,Final,18/07/2024
"Collision with terrain involving a Stoddard Hamilton Aircraft Glastar, VH-BAQ, about 18 km north-west of Noosa, Queensland, on 12 November 2023",AO-2023-056,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-056,12/11/2023,Final,14/06/2024
"Accredited Representative to the Air Accidents Investigation Branch, UK – Collision with terrain involving a DB-6R hot air balloon, G-CMFS, near Ombersley Court, Worcestershire, UK on 25 June 2023",AA-2023-007,https://www.atsb.gov.au/publications/investigation_reports/2024/report/aa-2023-007,25/06/2023,Final,
"Technical assistance to the Accident Investigation Commission of Papua New Guinea investigation of a collision with terrain involving a Bell Helicopters 407, registered P2-HSN at Gebrau Airstrip, Madang Province, Papua New Guinea, on 22 September 2023",AA-2023-005,https://www.atsb.gov.au/publications/investigation_reports/2024/report/aa-2023-005,22/09/2023,Final,01/12/2023
"Collision with terrain involving Cessna 172M, VH-JUA, 1km north-east of Murwillumbah, New South Wales, on 15 October 2023",AO-2023-048,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-048,15/10/2023,Final,14/02/2024
"Wirestrike and collision with terrain involving Cessna 172N, VH-RSB, near Merriton, South Australia, on 8 October 2023",AO-2023-046,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-046,08/10/2023,Final,23/05/2024
"Descent below segment minimum safe altitude involving Fokker 100, VH-FGB, near Adelaide Airport, South Australia, on 30 August 2023",AO-2023-041,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-041,30/08/2023,Final,12/04/2024
"Technical assistance to the New South Wales Police in the examination of components from amateur-built Gyrocopter G-2468, collision with terrain near Allworth, New South Wales, on 12 August 2023",AE-2023-005,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ae-2023-005,12/08/2023,Final,03/04/2024
"Flight management occurrence involving Embraer 190, VH-UYN, 20 km north-west of Alice Springs, Northern Territory, on 24 August 2023",AO-2023-040,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-040,24/08/2023,Final,02/08/2024
"Flight below lowest safe altitude involving ERJ-190, VH-IKJ, about 11km north-north-east of Napier Airport, New Zealand, on 24 May 2023",AO-2023-038,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-038,24/05/2023,Final,05/03/2024
"Collision with terrain involving Robinson R44, VH-HRB, 95 km west-north-west of Borroloola, Northern Territory, on 7 August 2023",AO-2023-037,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-037,07/08/2023,Final,15/11/2023
"Misaligned take-off involving Piper PA-31-350, VH-XMM, at Essendon Airport, Victoria, on 21 July 2023",AO-2023-035,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-035,21/07/2023,Final,17/11/2023
"Runway incursion involving Piper PA-28, VH-SFA and SAAB 340, VH-VED, at Shellharbour Airport, New South Wales, on 6 July 2023",AO-2023-032,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-032,06/07/2023,Final,19/12/2023
