<<<<<<< HEAD
report_id,recommendation_id,recipient,made,recommendation,recommendation_text,extra_recommendation_context,reply_text,response_category
2022_102,037/23,KiwiRail,2023-10-25,"On 25 October 2023, the Commission recommended that KiwiRail provides first aid training and evacuation training to all rail personnel that work in rail vehicles.",the Commission recommended that KiwiRail provides first aid training and evacuation training to all rail personnel that work in rail vehicles.,"On 25 October 2023, ","The Commission recommended that KiwiRail provides first aid training and evacuation training to all rail personnel that work in rail vehicles_x000D_
This recommendation is under consideration._x000D_
_x000D_
All infrastructure trainees are trained in First Aid as part of the Future You programme. Evacuation training is covered specifically in our Tunnel courses, where we train the use of SCSR and Gas masks._x000D_
For Scenic passenger staff, this is extended further with the Scenic Safety and Emergency Procedures course which is revalidated every 12 months.",
2022_102,039/23,KiwiRail,2023-10-25,"On 25 October 2023, the Commission recommended that KiwiRail install smoke and fire detection systems in all auxiliary generator wagons in service to alert train crew and passengers to a fire at the earliest opportunity.",the Commission recommended that KiwiRail install smoke and fire detection systems in all auxiliary generator wagons in service to alert train crew and passengers to a fire at the earliest opportunity.,"On 25 October 2023, ","This recommendation is accepted and implemented._x000D_
KiwiRail no longer have any auxiliary generator wagons in service, since the two AG vans operating on Capital Connection have been replaced by SRG class carriages. All generator cars in use have fire mitigations in place that address the intent of this recommendation. If we do return any AG vans to service at any point in the future then we will make the necessary modifications to fire detection systems before doing so.",
2022_102,035/23,KiwiRail,2023-10-25,"On 25 October 2023, the Commission recommended that KiwiRail reviews its second person training approach to ensure:_x000D_
â€¢	the document management of the training material is robust_x000D_
â€¢	the training material is fit for purpose and consistent with the training provided to other safety-critical roles_x000D_
â€¢	supervision during on-the-job training is adequate.","the Commission recommended that KiwiRail reviews its second person training approach to ensure:_x000D_
â€¢	the document management of the training material is robust_x000D_
â€¢	the training material is fit for purpose and consistent with the training provided to other safety-critical roles_x000D_
â€¢	supervision during on-the-job training is adequate.","On 25 October 2023, ","The Commission recommended that KiwiRail review its second person training approach to ensure:_x000D_
â€¢	The document management of the training is robust_x000D_
â€¢	The training material is fit for purpose and consistent with the training provided to other safety critical roles_x000D_
â€¢	Supervision during on-the-job training is adequate_x000D_
_x000D_
This recommendation is under consideration._x000D_
_x000D_
Current rules relating to second persons have been reviewed by a working group. The role of the second person in regard to signal recognition/calling will go through a risk review process early in 2024 to determine:_x000D_
â€¢	Role of second person now that long hood leading is no longer used in KiwiRail_x000D_
â€¢	If second person roles are required, what level of training/expectations regarding signal recognition/calling._x000D_
â€¢	OJT process and assurance will be reviewed and aligned appropriately.",
2022_102,038/23,Waka Kotahi,2023-10-25,6.8.	locomotives by all rail participants to ensure sufficient risk controls are in place,6.8.	locomotives by all rail participants to ensure sufficient risk controls are in place,,"Whilst the recommendation has been accepted and implemented from a KiwiRail point of view, Waka Kotahi NZ Transport Agency (as Rail Safety Regulator) still needs to ensure all participants who operate long-hood leading locomotives are reviewed to ensure sufficient risk controls are in place._x000D_
_x000D_
Waka Kotahi is undertaking work with all rail licence holders that operate in long hood leading mode, including:_x000D_
â€¢	consulting each of these rail licence holders on their use of long hood leading mode by 31 December 2023_x000D_
â€¢	reviewing the safety management system of each of these rail licence holders by 31 March 2024. This will be focused on assessing how they are incorporating the required controls to manage the risks associated with long hood leading mode._x000D_
_x000D_
_x000D_
Semi-Permanent Bulletin No. 665 (12 July, 2023) was provided for evidence of the recommendation having been completed by KiwiRail.",
2022_002,033/23,CAA,2023-10-25,"On 25 October 2023, the Commission recommended that the Director of Civil Aviation at the Civil Aviation Authority of New Zealand review the suitability of hook and loop retaining straps as a means of securing emergency locator transmitters to airframes.",the Commission recommended that the Director of Civil Aviation at the Civil Aviation Authority of New Zealand review the suitability of hook and loop retaining straps as a means of securing emergency locator transmitters to airframes.,"On 25 October 2023, ","We acknowledge the final recommendation 033/23 for Inquiry AO-2022-002, as set out below:_x000D_
On 25 October 2023 the Commission recommended that the Director of Civil Aviation at the Civil Aviation Authority of New Zealand review the suitability of hook and loop retaining straps as a means of securing emergency locator transmitters to airframes. (033/23)_x000D_
_x000D_
You have asked if the Authority can review the final recommendation. We have provided the following comments below._x000D_
Based on the final recommendation the Authority will review the suitability of hook and loop retaining straps as a means of securing emergency locator transmitters to airframes. We will inform you of the outcome of the review when it is completed.",
2022_102,036/23,KiwiRail,2023-10-25,"On 25 October 2023, the Commission recommended that KiwiRail integrates fully with the technology on the Auckland Metro network, to ensure the safe operation of rail within a complex system.","the Commission recommended that KiwiRail integrates fully with the technology on the Auckland Metro network, to ensure the safe operation of rail within a complex system.","On 25 October 2023, ","The Commission recommended that KiwiRail integrates fully with the technology on the Auckland Metro Network to ensure the safe operation of rail within a complex system_x000D_
This recommendation is accepted._x000D_
_x000D_
Retro-fitting of ETCS to locomotives is a significant task with limited available space and the safety critical nature of the ETCS equipment. A specific design is required for each new class fitted followed by prototype fitment, testing for safety assurance and then individual vehicle fitout and assurance testing. The cost and timeframe associated with this process is significant. Accordingly many factors need to be taken into consideration with respect to retro fitting of old locomotives. These include:_x000D_
â€¢	KiwiRail is currently installing ETCS to 53 DL class locomotives. First prototype is expected to be delivered in 2024_x000D_
â€¢	All new locomotives purchased for mainline running on the KiwiRail network are designed to be ETCS ready_x000D_
â€¢	Any new locomotives intended for mainline running in the Auckland suburban area will be fitted with ETCS at factory â€“ currently this includes the fitment of 20 DM class locomotives destined for North Island operations_x000D_
â€¢	DC and DH classes will be retired over the next five or so years. We are now primarily using DLâ€™s on the Port duty (which will be fitted with ETCS) and will be transferring DSGâ€™s into Auckland for the Westfield local shunts (Penrose / Sylvia Park etc.) We still have to work through a strategy of ETCS but it has been discussed in relation to the class.",
2022_102,034/23,KiwiRail,2023-10-25,"On 25 October 2023, the Commission recommended that KiwiRail undertakes a review of its non-technical skills training to ensure it provides adequate training on how to work together to manage threats.",the Commission recommended that KiwiRail undertakes a review of its non-technical skills training to ensure it provides adequate training on how to work together to manage threats.,"On 25 October 2023, ","The Commission recommended that KiwiRail undertakes a review of its non-technical skills training to ensure it provides adequate training on how to work together to manage threats._x000D_
This recommendation was accepted and implemented._x000D_
_x000D_
Non-Technical skills is provided in the Future You programmes for Infrastructure and Protection new starters, also Trainee Rail Operators and Trainee Locomotive Engineers in Yard school. They cover:_x000D_
â€¢	Safe Work conversation for why non-technical skills make situations safer and/or how they can prevent incidents._x000D_
â€¢	KiwiRail Non-Technical skills, what are they in more detail. Uses videos and includes examples for how these are relevant to the learners role_x000D_
â€¢	Introduction to Above and Below the line_x000D_
â€¢	Interactive session for how you can apply Above and Below the Line to Non-Technical skills._x000D_
_x000D_
For roles outside of these, an eLearn module was developed and can be accessed through the KiwiRail Learning Exchange (KLE). This is automatically assigned to all new starters and forms a part of the onboarding programme._x000D_
_x000D_
In addition to this, Trainee Locomotive Engineers also complete a Unit Standard assessment for 29376 Maintaining a safe and secure rail environment which embeds Non-Technical skills to meet the following outcomes:_x000D_
â€¢	Identify, assess and manage risks when working on or near the rail corridor_x000D_
â€¢	Demonstrate knowledge of factors that can lead to degraded personal performance_x000D_
_x000D_
The STAR process and the Life Saving Behaviour for being fit for work plays a large theme in this assessment.",
2022_103,031/23,KiwiRail,2023-09-27,"On 27 September 2023, the Commission recommended that KiwiRail adequately address the risk posed by disconnecting level-crossing protections, whether planned or unplanned.","the Commission recommended that KiwiRail adequately address the risk posed by disconnecting level-crossing protections, whether planned or unplanned.","On 27 September 2023, ","031/23:	The Commission recommended that KiwiRail adequately address the risk posed by disconnecting level crossing protections, whether planned or unplanned_x000D_
_x000D_
This recommendation is under consideration.",
2020_002,011/23,Gliding New Zealand,2023-09-27,"On 27 September 2023 the Commission recommended that Gliding New Zealand review how gliding club instructors are trained, and clubs are audited, and then take corrective action to ensure that all new instructors are consistently trained to the standards set out in the Manual of Approved Procedures (MOAP)","the Commission recommended that Gliding New Zealand review how gliding club instructors are trained, and clubs are audited, and then take corrective action to ensure that all new instructors are consistently trained to the standards set out in the Manual of Approved Procedures (MOAP)",On 27 September 2023 ,"On 13 October 2023, the President of GNZ responded to recommendation (011/23). Their response addressed two parts of the recommendation separately. The first part of their response related to Gliding New Zealand review how gliding club instructors are trained:_x000D_
_x000D_
Gliding New Zealand is pleased to report that this recommendation was accepted and implemented. More than just review how gliding club instructors are trained GNZ undertook a comprehensive update and rewrite of the instructor training programme (ITP) and submitted this to the CAA for acceptance on 1st June 2021. A further period of extensive collaboration and engagement with the CAA was then undertaken before final acceptance of the updated ITP was received from the CAA on 19th October 2022. A summary of this fully reviewed and updated programme can be found at the link below._x000D_
https://gliding.co.nz/wp-content/uploads/2023/02/ITP-Summary.pdf_x000D_
_x000D_
Since acceptance, a GNZ team led by the Operations Team has been rolling out the updated ITP to club instructors around the country via a series of seminars to ensure a consistent approach to training using the new system is being adopted._x000D_
_x000D_
In addition, it should be noted that there has also been a new publication on the traps of ridge flying, ""10 Traps"", which was written and issued as a direct response to this accident. This document has been added to the Pilot Training Program to sharpen awareness around the potential hazards of ridge flying and is available to both pilots and instructors._x000D_
_x000D_
The second part of the President of GNZ response related to how GNZ audits its affiliated clubs:_x000D_
_x000D_
Gliding New Zealand advises that this recommendation is Under Consideration._x000D_
_x000D_
Club audits are currently conducted by GNZ Regional Operations Officers (ROOâ€™s) following a templated format. ROOâ€™s are volunteers and club audits in their present format can take an entire weekend for one club. Presently there are three ROOâ€™s covering 19 clubs spread across the length of New Zealand. To extend these audits to detect gaps in an instructorâ€™s knowledge would involve the systematic assessment of every instructor by the auditor, which is simply not practical, hence the auditor does rely on the club CFI to attest to each instructorâ€™s knowledge, capability and to provide evidence of competency via records of assessment, Form OPS 07 and Form OPS 09. _x000D_
_x000D_
To step up another level in auditing would require funding. GNZ notes that CASA in Australia funds their recreational aviation organisations to carry out their duties, recognising that by doing so they are saving CASA significant amounts of money in comparison to what it would cost CASA to do this themselves. GNZ suggest that the CAA instead of charging Part 149 recreational aviation organisations (which reduces their budgets available for use on safety measures such as audits) CAA should follow overseas best practice and fund these organisations to carry out audits and thus improve safety.",
2022_103,032/23,KiwiRail,2023-09-27,"On 27 September 2023, the Commission recommended that KiwiRail work with road controlling authorities to develop processes for notification, risk assessment and traffic management measures for unplanned level-crossing disconnections.","the Commission recommended that KiwiRail work with road controlling authorities to develop processes for notification, risk assessment and traffic management measures for unplanned level-crossing disconnections.","On 27 September 2023, ","032/23:	The Commission recommended that KiwiRail work with road controlling authorities to develop processes for notification, risk assessment and traffic management measures for unplanned level crossing disconnections_x000D_
_x000D_
This recommendation is under consideration",
